Latitude (decimal degrees):	38.246
Longitude (decimal degrees):	-0.807
Elevation (m):	120
Radiation database:	PVGIS-SARAH2


Slope: 30 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20190102:1710,0.0,0.0,0.0,13.48,2.07,0.0
20190102:1810,0.0,0.0,0.0,11.44,1.86,0.0
20190102:1910,0.0,0.0,0.0,10.17,2.0,0.0
20190102:2010,0.0,0.0,0.0,8.54,1.72,0.0
20190102:2110,0.0,0.0,0.0,7.31,1.79,0.0
20190102:2210,0.0,0.0,0.0,6.05,2.07,0.0
20190102:2310,0.0,0.0,0.0,4.92,2.0,0.0
20190103:0010,0.0,0.0,0.0,4.16,2.0,0.0
20190103:0110,0.0,0.0,0.0,3.8,2.0,0.0
20190103:0210,0.0,0.0,0.0,3.66,2.0,0.0
20190103:0310,0.0,0.0,0.0,3.48,2.0,0.0
20190103:0410,0.0,0.0,0.0,3.25,2.0,0.0
20190103:0510,0.0,0.0,0.0,3.12,2.0,0.0
20190103:0610,0.0,0.0,0.0,3.11,2.0,0.0
20190103:0710,0.0,0.0,0.0,2.33,2.0,0.0
20190103:0810,167.94,208.77,7.39,2.65,1.86,0.0
20190103:0910,102.85,133.75,16.1,5.89,1.31,0.0
20190103:1010,112.05,147.54,22.99,10.79,0.97,0.0
20190103:1110,635.73,789.29,27.45,12.7,1.38,0.0
20190103:1210,420.65,510.2,28.92,13.37,2.14,0.0
20190103:1310,286.61,349.7,27.19,13.69,2.69,0.0
20190103:1410,322.51,390.35,22.5,13.5,2.83,0.0
20190103:1510,376.41,455.19,15.42,12.99,2.69,0.0
20190103:1610,190.63,246.93,6.59,12.3,2.14,0.0
20190103:1710,0.0,0.0,0.0,11.38,1.31,0.0
20190103:1810,0.0,0.0,0.0,10.44,0.9,0.0
20190103:1910,0.0,0.0,0.0,11.27,0.48,0.0
20190103:2010,0.0,0.0,0.0,10.83,0.14,0.0
20190103:2110,0.0,0.0,0.0,10.39,0.34,0.0
20190103:2210,0.0,0.0,0.0,9.66,0.97,0.0
20190103:2310,0.0,0.0,0.0,6.69,1.59,0.0
20190104:0010,0.0,0.0,0.0,5.66,1.72,0.0
20190104:0110,0.0,0.0,0.0,5.16,1.66,0.0
20190104:0210,0.0,0.0,0.0,4.92,1.59,0.0
20190104:0310,0.0,0.0,0.0,4.87,1.59,0.0
20190104:0410,0.0,0.0,0.0,5.09,1.45,0.0
20190104:0510,0.0,0.0,0.0,4.61,1.59,0.0
20190104:0610,0.0,0.0,0.0,4.36,1.59,0.0
20190104:0710,0.0,0.0,0.0,1.59,1.66,0.0
20190104:0810,227.02,276.61,7.4,2.16,1.72,0.0
20190104:0910,465.31,546.21,16.12,4.42,1.45,0.0
20190104:1010,612.09,738.45,23.04,7.75,1.31,0.0
20190104:1110,695.64,864.12,27.53,11.32,1.45,0.0
20190104:1210,713.54,888.99,29.02,13.0,2.0,0.0
20190104:1310,662.35,822.13,27.31,13.97,2.07,0.0
20190104:1410,583.15,719.3,22.63,14.43,1.93,0.0
20190104:1510,421.41,516.92,15.57,14.43,1.79,0.0
20190104:1610,195.0,254.1,6.73,13.72,1.52,0.0
20190104:1710,0.0,0.0,0.0,12.06,1.59,0.0
20190104:1810,0.0,0.0,0.0,10.14,1.17,0.0
20190104:1910,0.0,0.0,0.0,10.34,0.62,0.0
20190104:2010,0.0,0.0,0.0,9.67,0.21,0.0
20190104:2110,0.0,0.0,0.0,9.11,0.76,0.0
20190104:2210,0.0,0.0,0.0,6.08,1.45,0.0
20190104:2310,0.0,0.0,0.0,4.17,1.86,0.0
20190105:0010,0.0,0.0,0.0,3.15,1.93,0.0
20190105:0110,0.0,0.0,0.0,2.46,1.86,0.0
20190105:0210,0.0,0.0,0.0,2.04,1.86,0.0
20190105:0310,0.0,0.0,0.0,1.88,1.86,0.0
20190105:0410,0.0,0.0,0.0,1.78,1.93,0.0
20190105:0510,0.0,0.0,0.0,1.6,1.93,0.0
20190105:0610,0.0,0.0,0.0,1.47,1.93,0.0
20190105:0710,0.0,0.0,0.0,1.61,2.0,0.0
20190105:0810,229.69,279.26,7.41,1.8,1.79,0.0
20190105:0910,469.75,553.14,16.15,4.84,1.38,0.0
20190105:1010,614.75,746.62,23.1,8.97,1.31,0.0
20190105:1110,697.37,867.54,27.61,11.51,1.45,0.0
20190105:1210,713.58,892.54,29.13,13.28,1.86,0.0
20190105:1310,662.14,825.23,27.44,14.53,2.0,0.0
20190105:1410,584.55,722.79,22.77,15.38,2.14,0.0
20190105:1510,418.77,516.24,15.71,15.74,1.93,0.0
20190105:1610,194.91,255.38,6.88,15.09,1.45,0.0
20190105:1710,0.0,0.0,0.0,12.89,1.66,0.0
20190105:1810,0.0,0.0,0.0,10.25,1.86,0.0
20190105:1910,0.0,0.0,0.0,8.28,2.0,0.0
20190105:2010,0.0,0.0,0.0,6.57,2.28,0.0
20190105:2110,0.0,0.0,0.0,5.58,2.41,0.0
20190105:2210,0.0,0.0,0.0,5.2,2.62,0.0
20190105:2310,0.0,0.0,0.0,4.98,2.76,0.0
20190106:0010,0.0,0.0,0.0,4.71,2.83,0.0
20190106:0110,0.0,0.0,0.0,4.47,2.97,0.0
20190106:0210,0.0,0.0,0.0,4.22,2.97,0.0
20190106:0310,0.0,0.0,0.0,3.98,2.97,0.0
20190106:0410,0.0,0.0,0.0,3.73,2.9,0.0
20190106:0510,0.0,0.0,0.0,3.43,2.9,0.0
20190106:0610,0.0,0.0,0.0,3.07,2.83,0.0
20190106:0710,0.0,0.0,0.0,2.37,2.55,0.0
20190106:0810,219.17,267.21,7.43,2.38,2.41,0.0
20190106:0910,460.26,538.71,16.19,5.07,2.07,0.0
20190106:1010,605.9,731.04,23.16,9.28,1.79,0.0
20190106:1110,682.17,850.4,27.7,12.8,1.59,0.0
20190106:1210,698.29,889.96,29.25,15.03,1.24,0.0
20190106:1310,652.96,832.28,27.57,16.33,1.17,0.0
20190106:1410,564.18,715.54,22.92,16.99,0.83,0.0
20190106:1510,409.77,515.41,15.86,16.98,0.55,0.0
20190106:1610,190.71,252.78,7.03,16.15,0.21,0.0
20190106:1710,0.0,0.0,0.0,15.0,0.34,0.0
20190106:1810,0.0,0.0,0.0,13.42,0.55,0.0
20190106:1910,0.0,0.0,0.0,10.93,1.17,0.0
20190106:2010,0.0,0.0,0.0,7.16,1.79,0.0
20190106:2110,0.0,0.0,0.0,5.16,2.21,0.0
20190106:2210,0.0,0.0,0.0,3.96,2.21,0.0
20190106:2310,0.0,0.0,0.0,3.28,2.21,0.0
20190107:0010,0.0,0.0,0.0,2.93,2.21,0.0
20190107:0110,0.0,0.0,0.0,2.73,2.21,0.0
20190107:0210,0.0,0.0,0.0,2.55,2.21,0.0
20190107:0310,0.0,0.0,0.0,2.45,2.21,0.0
20190107:0410,0.0,0.0,0.0,2.48,2.14,0.0
20190107:0510,0.0,0.0,0.0,2.63,2.07,0.0
20190107:0610,0.0,0.0,0.0,2.59,2.0,0.0
20190107:0710,0.0,0.0,0.0,1.48,2.21,0.0
20190107:0810,217.97,265.9,7.45,1.97,1.93,0.0
20190107:0910,446.8,526.27,16.24,5.17,1.38,0.0
20190107:1010,617.58,763.51,23.23,10.52,0.76,0.0
20190107:1110,668.89,853.94,27.8,13.38,0.48,0.0
20190107:1210,695.92,887.62,29.37,14.74,1.1,0.0
20190107:1310,610.45,764.49,27.72,15.35,1.52,0.0
20190107:1410,619.7,773.06,23.07,15.53,1.79,0.0
20190107:1510,423.73,519.95,16.02,15.1,2.07,0.0
20190107:1610,195.34,253.85,7.19,14.05,1.79,0.0
20190107:1710,0.0,0.0,0.0,12.26,1.66,0.0
20190107:1810,0.0,0.0,0.0,10.29,1.31,0.0
20190107:1910,0.0,0.0,0.0,8.91,1.45,0.0
20190107:2010,0.0,0.0,0.0,8.34,1.45,0.0
20190107:2110,0.0,0.0,0.0,7.59,1.59,0.0
20190107:2210,0.0,0.0,0.0,6.59,1.86,0.0
20190107:2310,0.0,0.0,0.0,6.31,1.79,0.0
20190108:0010,0.0,0.0,0.0,6.07,1.79,0.0
20190108:0110,0.0,0.0,0.0,5.58,1.86,0.0
20190108:0210,0.0,0.0,0.0,5.34,1.86,0.0
20190108:0310,0.0,0.0,0.0,5.22,1.86,0.0
20190108:0410,0.0,0.0,0.0,5.2,1.79,0.0
20190108:0510,0.0,0.0,0.0,5.03,1.79,0.0
20190108:0610,0.0,0.0,0.0,5.05,1.72,0.0
20190108:0710,0.0,0.0,0.0,4.81,1.72,0.0
20190108:0810,223.69,276.91,7.48,5.1,1.59,0.0
20190108:0910,461.95,550.76,16.29,7.35,1.31,0.0
20190108:1010,601.26,734.4,23.31,9.78,1.1,0.0
20190108:1110,682.18,855.06,27.91,11.88,1.03,0.0
20190108:1210,703.05,887.03,29.5,13.08,1.24,0.0
20190108:1310,664.13,830.95,27.86,14.0,1.59,0.0
20190108:1410,580.36,717.36,23.23,14.56,1.79,0.0
20190108:1510,431.24,528.95,16.18,14.73,1.93,0.0
20190108:1610,206.37,267.5,7.35,14.24,1.72,0.0
20190108:1710,0.0,0.0,0.0,12.56,1.86,0.0
20190108:1810,0.0,0.0,0.0,10.71,1.86,0.0
20190108:1910,0.0,0.0,0.0,9.27,1.66,0.0
20190108:2010,0.0,0.0,0.0,7.59,1.79,0.0
20190108:2110,0.0,0.0,0.0,6.02,2.0,0.0
20190108:2210,0.0,0.0,0.0,4.96,2.07,0.0
20190108:2310,0.0,0.0,0.0,4.38,2.21,0.0
20190109:0010,0.0,0.0,0.0,4.23,2.41,0.0
20190109:0110,0.0,0.0,0.0,4.26,2.62,0.0
20190109:0210,0.0,0.0,0.0,4.36,2.76,0.0
20190109:0310,0.0,0.0,0.0,4.59,2.76,0.0
20190109:0410,0.0,0.0,0.0,4.75,2.69,0.0
20190109:0510,0.0,0.0,0.0,4.58,2.62,0.0
20190109:0610,0.0,0.0,0.0,4.31,2.62,0.0
20190109:0710,0.0,0.0,0.0,3.61,2.48,0.0
20190109:0810,216.85,266.32,7.52,3.71,2.41,0.0
20190109:0910,452.19,532.34,16.35,6.23,2.0,0.0
20190109:1010,605.2,732.15,23.4,10.04,1.86,0.0
20190109:1110,683.98,846.6,28.02,12.71,2.0,0.0
20190109:1210,698.98,872.84,29.64,14.23,2.14,0.0
20190109:1310,659.07,823.75,28.02,15.17,2.0,0.0
20190109:1410,572.74,710.29,23.4,15.73,1.93,0.0
20190109:1510,422.71,520.12,16.35,15.97,2.21,0.0
20190109:1610,146.76,195.48,7.52,15.54,1.79,0.0
20190109:1710,0.0,0.0,0.0,13.58,1.86,0.0
20190109:1810,0.0,0.0,0.0,11.44,2.41,0.0
20190109:1910,0.0,0.0,0.0,10.55,1.86,0.0
20190109:2010,0.0,0.0,0.0,9.03,2.28,0.0
20190109:2110,0.0,0.0,0.0,8.35,2.69,0.0
20190109:2210,0.0,0.0,0.0,8.13,2.83,0.0
20190109:2310,0.0,0.0,0.0,8.15,2.97,0.0
20190110:0010,0.0,0.0,0.0,8.12,3.1,0.0
20190110:0110,0.0,0.0,0.0,8.15,3.24,0.0
20190110:0210,0.0,0.0,0.0,7.52,2.97,0.0
20190110:0310,0.0,0.0,0.0,6.71,2.55,0.0
20190110:0410,0.0,0.0,0.0,5.69,2.28,0.0
20190110:0510,0.0,0.0,0.0,4.98,2.21,0.0
20190110:0610,0.0,0.0,0.0,4.34,2.21,0.0
20190110:0710,0.0,0.0,0.0,4.02,2.21,0.0
20190110:0810,97.84,129.61,7.56,4.35,2.0,0.0
20190110:0910,388.31,459.42,16.41,6.71,1.52,0.0
20190110:1010,348.03,415.17,23.49,9.84,2.14,0.0
20190110:1110,532.26,637.08,28.14,10.69,2.69,0.0
20190110:1210,188.4,234.67,29.79,11.13,2.28,0.0
20190110:1310,669.9,822.99,28.18,11.41,1.93,0.0
20190110:1410,583.65,711.16,23.57,11.5,1.72,0.0
20190110:1510,426.25,515.05,16.52,11.38,1.72,0.0
20190110:1610,215.23,273.88,7.68,11.0,1.59,0.0
20190110:1710,0.0,0.0,0.0,9.91,1.24,0.0
20190110:1810,0.0,0.0,0.0,7.84,1.1,0.0
20190110:1910,0.0,0.0,0.0,7.83,1.1,0.0
20190110:2010,0.0,0.0,0.0,7.81,0.9,0.0
20190110:2110,0.0,0.0,0.0,6.5,1.1,0.0
20190110:2210,0.0,0.0,0.0,4.12,1.52,0.0
20190110:2310,0.0,0.0,0.0,2.54,1.66,0.0
20190111:0010,0.0,0.0,0.0,1.22,1.79,0.0
20190111:0110,0.0,0.0,0.0,0.42,1.93,0.0
20190111:0210,0.0,0.0,0.0,-0.01,1.93,0.0
20190111:0310,0.0,0.0,0.0,-0.35,2.0,0.0
20190111:0410,0.0,0.0,0.0,-0.59,2.07,0.0
20190111:0510,0.0,0.0,0.0,-0.69,2.07,0.0
20190111:0610,0.0,0.0,0.0,-0.86,2.14,0.0
20190111:0710,0.0,0.0,0.0,-1.42,2.14,0.0
20190111:0810,236.26,283.33,7.61,-1.26,1.93,0.0
20190111:0910,470.29,545.51,16.49,2.22,1.66,0.0
20190111:1010,618.54,739.97,23.59,6.28,1.45,0.0
20190111:1110,703.12,862.83,28.27,8.7,1.45,0.0
20190111:1210,718.55,890.06,29.94,10.07,1.52,0.0
20190111:1310,689.18,848.72,28.35,10.86,1.79,0.0
20190111:1410,598.33,728.5,23.74,11.32,1.86,0.0
20190111:1510,448.37,542.7,16.7,11.36,1.66,0.0
20190111:1610,233.4,296.08,7.86,11.0,1.31,0.0
20190111:1710,0.0,0.0,0.0,9.61,1.45,0.0
20190111:1810,0.0,0.0,0.0,7.05,1.66,0.0
20190111:1910,0.0,0.0,0.0,6.11,1.38,0.0
20190111:2010,0.0,0.0,0.0,4.43,1.59,0.0
20190111:2110,0.0,0.0,0.0,2.78,1.79,0.0
20190111:2210,0.0,0.0,0.0,1.3,1.93,0.0
20190111:2310,0.0,0.0,0.0,0.29,2.0,0.0
20190112:0010,0.0,0.0,0.0,-0.4,2.07,0.0
20190112:0110,0.0,0.0,0.0,-0.92,2.07,0.0
20190112:0210,0.0,0.0,0.0,-1.21,2.07,0.0
20190112:0310,0.0,0.0,0.0,-1.4,2.07,0.0
20190112:0410,0.0,0.0,0.0,-1.55,2.07,0.0
20190112:0510,0.0,0.0,0.0,-1.66,2.07,0.0
20190112:0610,0.0,0.0,0.0,-1.76,2.07,0.0
20190112:0710,0.0,0.0,0.0,-1.71,2.14,0.0
20190112:0810,220.7,265.51,7.66,-1.31,1.93,0.0
20190112:0910,458.01,532.45,16.56,2.29,1.38,0.0
20190112:1010,597.05,719.01,23.69,7.34,1.17,0.0
20190112:1110,678.02,840.39,28.4,9.89,1.03,0.0
20190112:1210,705.63,882.73,30.1,11.37,1.24,0.0
20190112:1310,672.71,841.59,28.53,12.29,1.17,0.0
20190112:1410,583.65,722.61,23.93,12.82,1.1,0.0
20190112:1510,438.99,537.26,16.88,12.93,1.24,0.0
20190112:1610,222.65,284.47,8.03,12.47,1.45,0.0
20190112:1710,0.0,0.0,0.0,10.94,1.72,0.0
20190112:1810,0.0,0.0,0.0,8.56,1.59,0.0
20190112:1910,0.0,0.0,0.0,7.57,1.24,0.0
20190112:2010,0.0,0.0,0.0,5.51,1.66,0.0
20190112:2110,0.0,0.0,0.0,3.81,1.93,0.0
20190112:2210,0.0,0.0,0.0,2.72,2.07,0.0
20190112:2310,0.0,0.0,0.0,1.74,2.07,0.0
20190113:0010,0.0,0.0,0.0,0.88,2.07,0.0
20190113:0110,0.0,0.0,0.0,0.36,2.14,0.0
20190113:0210,0.0,0.0,0.0,0.26,2.21,0.0
20190113:0310,0.0,0.0,0.0,0.41,2.41,0.0
20190113:0410,0.0,0.0,0.0,0.61,2.55,0.0
20190113:0510,0.0,0.0,0.0,0.71,2.62,0.0
20190113:0610,0.0,0.0,0.0,0.67,2.62,0.0
20190113:0710,0.0,0.0,0.0,0.61,2.62,0.0
20190113:0810,227.29,275.18,7.72,1.02,2.62,0.0
20190113:0910,464.18,538.96,16.65,3.89,2.41,0.0
20190113:1010,616.85,734.06,23.81,7.97,2.48,0.0
20190113:1110,700.03,849.19,28.54,11.07,3.03,0.0
20190113:1210,713.96,876.21,30.27,13.32,3.24,0.0
20190113:1310,701.94,866.44,28.71,15.01,3.31,0.0
20190113:1410,591.05,726.63,24.11,16.16,3.1,0.0
20190113:1510,444.79,546.85,17.06,16.63,2.76,0.0
20190113:1610,227.46,294.35,8.22,16.13,1.86,0.0
20190113:1710,0.0,0.0,0.0,13.84,1.79,0.0
20190113:1810,0.0,0.0,0.0,10.88,2.28,0.0
20190113:1910,0.0,0.0,0.0,9.82,1.45,0.0
20190113:2010,0.0,0.0,0.0,6.92,2.0,0.0
20190113:2110,0.0,0.0,0.0,5.45,2.28,0.0
20190113:2210,0.0,0.0,0.0,4.84,2.41,0.0
20190113:2310,0.0,0.0,0.0,4.71,2.55,0.0
20190114:0010,0.0,0.0,0.0,4.7,2.69,0.0
20190114:0110,0.0,0.0,0.0,4.78,2.83,0.0
20190114:0210,0.0,0.0,0.0,4.88,2.9,0.0
20190114:0310,0.0,0.0,0.0,5.05,2.97,0.0
20190114:0410,0.0,0.0,0.0,5.25,3.03,0.0
20190114:0510,0.0,0.0,0.0,5.46,3.17,0.0
20190114:0610,0.0,0.0,0.0,5.69,3.24,0.0
20190114:0710,0.0,0.0,0.0,4.78,2.97,0.0
20190114:0810,214.96,265.81,7.79,5.3,2.97,0.0
20190114:0910,447.76,528.55,16.74,8.09,2.76,0.0
20190114:1010,606.93,729.96,23.93,11.66,3.1,0.0
20190114:1110,682.31,838.45,28.69,14.52,3.24,0.0
20190114:1210,701.29,874.43,30.44,16.73,3.24,0.0
20190114:1310,669.21,842.31,28.9,18.27,2.76,0.0
20190114:1410,572.01,718.65,24.31,19.1,2.28,0.0
20190114:1510,426.69,534.76,17.26,19.1,1.79,0.0
20190114:1610,220.96,289.25,8.4,18.06,1.45,0.0
20190114:1710,0.0,0.0,0.0,15.68,1.79,0.0
20190114:1810,0.0,0.0,0.0,12.97,1.79,0.0
20190114:1910,0.0,0.0,0.0,11.32,1.72,0.0
20190114:2010,0.0,0.0,0.0,10.37,1.45,0.0
20190114:2110,0.0,0.0,0.0,9.9,1.45,0.0
20190114:2210,0.0,0.0,0.0,8.56,1.66,0.0
20190114:2310,0.0,0.0,0.0,6.93,1.93,0.0
20190115:0010,0.0,0.0,0.0,5.8,1.93,0.0
20190115:0110,0.0,0.0,0.0,5.0,1.93,0.0
20190115:0210,0.0,0.0,0.0,4.5,1.93,0.0
20190115:0310,0.0,0.0,0.0,4.29,1.86,0.0
20190115:0410,0.0,0.0,0.0,4.28,1.86,0.0
20190115:0510,0.0,0.0,0.0,4.5,1.79,0.0
20190115:0610,0.0,0.0,0.0,4.89,1.66,0.0
20190115:0710,0.0,0.0,0.0,2.53,1.86,0.0
20190115:0810,218.24,268.15,7.86,2.98,1.72,0.0
20190115:0910,446.5,531.56,16.84,6.97,1.17,0.0
20190115:1010,582.59,725.03,24.05,12.02,0.55,0.0
20190115:1110,664.2,842.48,28.85,13.86,0.83,0.0
20190115:1210,694.43,878.62,30.62,14.86,1.52,0.0
20190115:1310,685.41,860.59,29.09,15.42,2.0,0.0
20190115:1410,536.24,659.78,24.51,15.65,2.28,0.0
20190115:1510,416.11,508.66,17.45,15.31,2.48,0.0
20190115:1610,225.97,289.12,8.59,14.49,2.48,0.0
20190115:1710,0.0,0.0,0.0,12.93,1.72,0.0
20190115:1810,0.0,0.0,0.0,11.33,1.24,0.0
20190115:1910,0.0,0.0,0.0,11.44,0.55,0.0
20190115:2010,0.0,0.0,0.0,10.96,0.21,0.0
20190115:2110,0.0,0.0,0.0,9.15,1.03,0.0
20190115:2210,0.0,0.0,0.0,7.65,1.38,0.0
20190115:2310,0.0,0.0,0.0,6.48,1.59,0.0
20190116:0010,0.0,0.0,0.0,5.61,1.66,0.0
20190116:0110,0.0,0.0,0.0,4.89,1.66,0.0
20190116:0210,0.0,0.0,0.0,4.22,1.72,0.0
20190116:0310,0.0,0.0,0.0,3.65,1.66,0.0
20190116:0410,0.0,0.0,0.0,3.22,1.66,0.0
20190116:0510,0.0,0.0,0.0,3.58,1.59,0.0
20190116:0610,0.0,0.0,0.0,4.36,1.72,0.0
20190116:0710,0.0,0.0,0.0,4.25,1.79,0.0
20190116:0810,187.04,233.03,7.94,4.45,1.93,0.0
20190116:0910,456.99,537.48,16.94,5.47,1.72,0.0
20190116:1010,604.22,727.96,24.18,8.12,1.45,0.0
20190116:1110,691.9,858.0,29.01,11.36,1.52,0.0
20190116:1210,708.62,888.42,30.8,13.42,1.72,0.0
20190116:1310,687.18,864.49,29.29,14.59,1.66,0.0
20190116:1410,584.29,727.04,24.71,15.22,1.59,0.0
20190116:1510,446.2,550.05,17.65,15.33,1.66,0.0
20190116:1610,230.21,295.16,8.78,14.84,1.93,0.0
20190116:1710,0.0,0.0,0.0,13.27,2.0,0.0
20190116:1810,0.0,0.0,0.0,11.5,1.79,0.0
20190116:1910,0.0,0.0,0.0,10.21,1.38,0.0
20190116:2010,0.0,0.0,0.0,9.79,1.1,0.0
20190116:2110,0.0,0.0,0.0,8.77,1.24,0.0
20190116:2210,0.0,0.0,0.0,7.46,1.45,0.0
20190116:2310,0.0,0.0,0.0,6.1,1.72,0.0
20190117:0010,0.0,0.0,0.0,5.13,1.86,0.0
20190117:0110,0.0,0.0,0.0,4.72,2.0,0.0
20190117:0210,0.0,0.0,0.0,4.61,2.14,0.0
20190117:0310,0.0,0.0,0.0,4.83,2.21,0.0
20190117:0410,0.0,0.0,0.0,5.19,2.48,0.0
20190117:0510,0.0,0.0,0.0,5.69,2.21,0.0
20190117:0610,0.0,0.0,0.0,5.58,2.41,0.0
20190117:0710,0.0,0.0,0.0,5.43,2.28,0.0
20190117:0810,141.34,180.92,8.03,5.84,2.28,0.0
20190117:0910,398.55,471.37,17.05,7.69,2.14,0.0
20190117:1010,477.11,567.92,24.32,10.39,2.69,0.0
20190117:1110,592.9,715.27,29.18,12.19,3.1,0.0
20190117:1210,610.22,746.27,31.0,13.75,2.76,0.0
20190117:1310,381.21,465.94,29.5,14.6,1.93,0.0
20190117:1410,376.77,463.79,24.92,14.94,1.1,0.0
20190117:1510,217.14,273.28,17.85,14.97,0.48,0.0
20190117:1610,196.25,254.95,8.98,14.57,0.34,0.0
20190117:1710,0.0,0.0,0.0,13.5,1.1,0.0
20190117:1810,0.0,0.0,0.0,11.7,1.66,0.0
20190117:1910,0.0,0.0,0.0,11.53,0.69,0.0
20190117:2010,0.0,0.0,0.0,10.73,0.83,0.0
20190117:2110,0.0,0.0,0.0,9.47,1.03,0.0
20190117:2210,0.0,0.0,0.0,8.07,1.24,0.0
20190117:2310,0.0,0.0,0.0,6.77,1.45,0.0
20190118:0010,0.0,0.0,0.0,5.89,1.52,0.0
20190118:0110,0.0,0.0,0.0,5.5,1.45,0.0
20190118:0210,0.0,0.0,0.0,5.15,1.45,0.0
20190118:0310,0.0,0.0,0.0,4.55,1.66,0.0
20190118:0410,0.0,0.0,0.0,4.48,1.52,0.0
20190118:0510,0.0,0.0,0.0,4.47,1.45,0.0
20190118:0610,0.0,0.0,0.0,4.65,1.45,0.0
20190118:0710,0.0,0.0,0.0,4.45,1.52,0.0
20190118:0810,229.09,283.4,8.12,4.63,1.38,0.0
20190118:0910,456.01,545.52,17.17,7.33,0.97,0.0
20190118:1010,609.16,749.5,24.47,10.07,0.83,0.0
20190118:1110,704.79,888.5,29.35,11.71,0.9,0.0
20190118:1210,648.96,810.93,31.2,12.81,1.24,0.0
20190118:1310,570.27,702.0,29.71,13.64,1.79,0.0
20190118:1410,579.5,713.23,25.13,14.26,2.0,0.0
20190118:1510,356.6,435.96,18.06,14.5,1.93,0.0
20190118:1610,169.23,220.01,9.17,14.28,1.66,0.0
20190118:1710,0.0,0.0,0.0,13.0,1.72,0.0
20190118:1810,0.0,0.0,0.0,11.41,1.79,0.0
20190118:1910,0.0,0.0,0.0,10.23,1.31,0.0
20190118:2010,0.0,0.0,0.0,8.78,1.59,0.0
20190118:2110,0.0,0.0,0.0,7.43,1.79,0.0
20190118:2210,0.0,0.0,0.0,6.27,1.93,0.0
20190118:2310,0.0,0.0,0.0,5.19,2.07,0.0
20190119:0010,0.0,0.0,0.0,4.93,2.14,0.0
20190119:0110,0.0,0.0,0.0,4.46,2.28,0.0
20190119:0210,0.0,0.0,0.0,4.26,2.41,0.0
20190119:0310,0.0,0.0,0.0,4.11,2.48,0.0
20190119:0410,0.0,0.0,0.0,3.99,2.48,0.0
20190119:0510,0.0,0.0,0.0,4.06,2.62,0.0
20190119:0610,0.0,0.0,0.0,3.99,2.62,0.0
20190119:0710,0.0,0.0,0.0,4.04,2.83,0.0
20190119:0810,238.49,292.63,8.22,4.45,2.69,0.0
