Latitude (decimal degrees):	46.457
Longitude (decimal degrees):	11.323
Elevation (m):	231
Radiation database:	PVGIS-SARAH2


Slope: 30 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20160104:1410,103.14,132.41,10.73,2.4,0.14,0.0
20160104:1510,5.72,16.29,3.35,2.17,0.07,0.0
20160104:1610,0.0,0.0,0.0,1.9,0.14,0.0
20160104:1710,0.0,0.0,0.0,1.45,0.34,0.0
20160104:1810,0.0,0.0,0.0,0.87,0.48,0.0
20160104:1910,0.0,0.0,0.0,0.02,0.48,0.0
20160104:2010,0.0,0.0,0.0,-0.45,0.48,0.0
20160104:2110,0.0,0.0,0.0,-1.03,0.41,0.0
20160104:2210,0.0,0.0,0.0,-1.68,0.41,0.0
20160104:2310,0.0,0.0,0.0,-2.21,0.48,0.0
20160105:0010,0.0,0.0,0.0,-2.58,0.41,0.0
20160105:0110,0.0,0.0,0.0,-2.88,0.48,0.0
20160105:0210,0.0,0.0,0.0,-3.14,0.48,0.0
20160105:0310,0.0,0.0,0.0,-3.04,0.48,0.0
20160105:0410,0.0,0.0,0.0,-2.77,0.48,0.0
20160105:0510,0.0,0.0,0.0,-2.52,0.41,0.0
20160105:0610,0.0,0.0,0.0,-2.24,0.41,0.0
20160105:0710,0.0,0.0,0.0,-2.27,0.34,0.0
20160105:0810,39.22,58.83,8.77,-1.79,0.28,0.0
20160105:0910,118.19,146.85,14.99,-0.94,0.28,0.0
20160105:1010,232.71,272.82,19.17,0.39,0.34,0.0
20160105:1110,568.77,667.72,20.89,1.28,0.55,0.0
20160105:1210,580.45,682.94,19.97,1.93,0.69,0.0
20160105:1310,477.05,558.23,16.51,2.48,0.55,0.0
20160105:1410,343.58,405.0,10.87,2.48,0.21,0.0
20160105:1510,5.16,15.39,3.5,1.98,0.48,0.0
20160105:1610,0.0,0.0,0.0,1.54,0.48,0.0
20160105:1710,0.0,0.0,0.0,0.6,0.48,0.0
20160105:1810,0.0,0.0,0.0,-0.36,0.41,0.0
20160105:1910,0.0,0.0,0.0,-0.48,0.28,0.0
20160105:2010,0.0,0.0,0.0,-0.93,0.28,0.0
20160105:2110,0.0,0.0,0.0,-1.68,0.28,0.0
20160105:2210,0.0,0.0,0.0,-2.75,0.34,0.0
20160105:2310,0.0,0.0,0.0,-2.8,0.41,0.0
20160106:0010,0.0,0.0,0.0,-2.46,0.41,0.0
20160106:0110,0.0,0.0,0.0,-2.64,0.34,0.0
20160106:0210,0.0,0.0,0.0,-2.43,0.28,0.0
20160106:0310,0.0,0.0,0.0,-2.54,0.34,0.0
20160106:0410,0.0,0.0,0.0,-2.56,0.34,0.0
20160106:0510,0.0,0.0,0.0,-2.78,0.34,0.0
20160106:0610,0.0,0.0,0.0,-3.01,0.34,0.0
20160106:0710,0.0,0.0,0.0,-2.63,0.62,0.0
20160106:0810,33.25,51.59,8.82,-2.66,0.69,0.0
20160106:0910,390.37,445.94,15.06,-1.7,0.62,0.0
20160106:1010,456.28,526.26,19.26,0.15,0.62,0.0
20160106:1110,614.72,724.45,21.0,1.32,0.69,0.0
20160106:1210,493.1,574.3,20.1,1.58,0.62,0.0
20160106:1310,498.13,584.02,16.66,2.49,0.55,0.0
20160106:1410,350.96,413.45,11.02,2.73,0.34,0.0
20160106:1510,4.58,14.48,3.65,2.55,0.21,0.0
20160106:1610,0.0,0.0,0.0,2.08,0.28,0.0
20160106:1710,0.0,0.0,0.0,1.46,0.28,0.0
20160106:1810,0.0,0.0,0.0,0.88,0.34,0.0
20160106:1910,0.0,0.0,0.0,-0.66,0.48,0.0
20160106:2010,0.0,0.0,0.0,-1.13,0.55,0.0
20160106:2110,0.0,0.0,0.0,-1.66,0.55,0.0
20160106:2210,0.0,0.0,0.0,-2.37,0.48,0.0
20160106:2310,0.0,0.0,0.0,-2.77,0.48,0.0
20160107:0010,0.0,0.0,0.0,-3.06,0.41,0.0
20160107:0110,0.0,0.0,0.0,-3.23,0.41,0.0
20160107:0210,0.0,0.0,0.0,-3.48,0.41,0.0
20160107:0310,0.0,0.0,0.0,-3.74,0.41,0.0
20160107:0410,0.0,0.0,0.0,-3.9,0.34,0.0
20160107:0510,0.0,0.0,0.0,-4.01,0.48,0.0
20160107:0610,0.0,0.0,0.0,-3.96,0.34,0.0
20160107:0710,0.0,0.0,0.0,-3.3,0.41,0.0
20160107:0810,39.38,58.83,8.87,-2.59,0.34,0.0
20160107:0910,230.61,269.23,15.14,-0.75,0.28,0.0
20160107:1010,567.27,668.71,19.36,1.44,0.34,0.0
20160107:1110,457.36,533.85,21.12,2.96,0.76,0.0
20160107:1210,74.34,100.27,20.24,2.4,1.1,0.0
20160107:1310,56.08,79.46,16.8,2.59,1.31,0.0
20160107:1410,32.93,52.03,11.17,1.66,1.17,0.0
20160107:1510,2.03,9.96,3.81,0.98,0.97,0.0
20160107:1610,0.0,0.0,0.0,1.0,0.76,0.0
20160107:1710,0.0,0.0,0.0,0.64,0.62,0.0
20160107:1810,0.0,0.0,0.0,0.49,0.55,0.0
20160107:1910,0.0,0.0,0.0,0.08,0.55,0.0
20160107:2010,0.0,0.0,0.0,-0.01,0.62,0.0
20160107:2110,0.0,0.0,0.0,-0.19,0.62,0.0
20160107:2210,0.0,0.0,0.0,-0.31,0.48,0.0
20160107:2310,0.0,0.0,0.0,-0.47,0.62,0.0
20160108:0010,0.0,0.0,0.0,-0.57,0.55,0.0
20160108:0110,0.0,0.0,0.0,-0.92,0.48,0.0
20160108:0210,0.0,0.0,0.0,-1.06,0.55,0.0
20160108:0310,0.0,0.0,0.0,-1.45,0.62,0.0
20160108:0410,0.0,0.0,0.0,-2.42,0.62,0.0
20160108:0510,0.0,0.0,0.0,-3.02,0.55,0.0
20160108:0610,0.0,0.0,0.0,-3.02,0.48,0.0
20160108:0710,0.0,0.0,0.0,-2.96,0.41,0.0
20160108:0810,38.52,57.92,8.94,-2.14,0.41,0.0
20160108:0910,160.46,193.04,15.22,-0.38,0.34,0.0
20160108:1010,136.71,169.11,19.46,1.76,0.34,0.0
20160108:1110,144.24,178.77,21.25,3.41,0.41,0.0
20160108:1210,456.96,536.81,20.38,4.12,0.69,0.0
20160108:1310,546.05,644.05,16.96,3.78,0.9,0.0
20160108:1410,279.18,330.17,11.33,3.8,0.83,0.0
20160108:1510,6.86,18.1,3.97,3.13,0.83,0.0
20160108:1610,0.0,0.0,0.0,3.04,0.9,0.0
20160108:1710,0.0,0.0,0.0,2.84,0.83,0.0
20160108:1810,0.0,0.0,0.0,2.12,0.83,0.0
20160108:1910,0.0,0.0,0.0,1.96,0.69,0.0
20160108:2010,0.0,0.0,0.0,1.7,0.76,0.0
20160108:2110,0.0,0.0,0.0,1.6,0.69,0.0
20160108:2210,0.0,0.0,0.0,1.59,0.69,0.0
20160108:2310,0.0,0.0,0.0,1.63,0.62,0.0
20160109:0010,0.0,0.0,0.0,1.59,0.62,0.0
20160109:0110,0.0,0.0,0.0,0.95,0.69,0.0
20160109:0210,0.0,0.0,0.0,0.95,0.69,0.0
20160109:0310,0.0,0.0,0.0,0.92,0.62,0.0
20160109:0410,0.0,0.0,0.0,0.89,0.62,0.0
20160109:0510,0.0,0.0,0.0,0.9,0.62,0.0
20160109:0610,0.0,0.0,0.0,0.72,0.55,0.0
20160109:0710,0.0,0.0,0.0,0.88,0.48,0.0
20160109:0810,28.88,47.06,9.01,1.22,0.41,0.0
20160109:0910,25.14,42.57,15.31,1.97,0.41,0.0
20160109:1010,28.15,46.35,19.58,2.32,0.55,0.0
20160109:1110,64.95,89.87,21.39,2.97,0.62,0.0
20160109:1210,25.69,43.52,20.53,3.63,0.76,0.0
20160109:1310,38.91,59.6,17.12,3.35,0.76,0.0
20160109:1410,49.3,71.78,11.5,3.28,0.69,0.0
20160109:1510,8.04,19.91,4.14,3.61,0.62,0.0
20160109:1610,0.0,0.0,0.0,3.49,0.62,0.0
20160109:1710,0.0,0.0,0.0,3.33,0.62,0.0
20160109:1810,0.0,0.0,0.0,3.24,0.55,0.0
20160109:1910,0.0,0.0,0.0,2.73,0.55,0.0
20160109:2010,0.0,0.0,0.0,2.66,0.55,0.0
20160109:2110,0.0,0.0,0.0,2.55,0.55,0.0
20160109:2210,0.0,0.0,0.0,2.58,0.48,0.0
20160109:2310,0.0,0.0,0.0,2.39,0.48,0.0
20160110:0010,0.0,0.0,0.0,2.25,0.34,0.0
20160110:0110,0.0,0.0,0.0,2.4,0.28,0.0
20160110:0210,0.0,0.0,0.0,2.24,0.34,0.0
20160110:0310,0.0,0.0,0.0,2.07,0.41,0.0
20160110:0410,0.0,0.0,0.0,1.55,0.34,0.0
20160110:0510,0.0,0.0,0.0,1.06,0.34,0.0
20160110:0610,0.0,0.0,0.0,1.07,0.48,0.0
20160110:0710,0.0,0.0,0.0,-1.3,0.55,0.0
20160110:0810,40.53,60.64,9.08,-0.6,0.21,0.0
20160110:0910,104.52,133.07,15.41,0.95,0.28,0.0
20160110:1010,69.35,94.6,19.7,2.09,0.48,0.0
20160110:1110,70.6,96.49,21.53,3.46,0.83,0.0
20160110:1210,15.4,30.27,20.69,3.94,0.9,0.0
20160110:1310,42.63,64.33,17.29,4.77,1.45,0.0
20160110:1410,16.03,31.22,11.67,4.9,1.17,0.0
20160110:1510,9.23,21.72,4.31,4.34,1.1,0.0
20160110:1610,0.0,0.0,0.0,3.25,1.03,0.0
20160110:1710,0.0,0.0,0.0,2.87,1.03,0.0
20160110:1810,0.0,0.0,0.0,2.74,1.03,0.0
20160110:1910,0.0,0.0,0.0,1.86,1.17,0.0
20160110:2010,0.0,0.0,0.0,2.55,0.97,0.0
20160110:2110,0.0,0.0,0.0,2.55,0.97,0.0
20160110:2210,0.0,0.0,0.0,2.63,0.97,0.0
20160110:2310,0.0,0.0,0.0,2.86,0.9,0.0
20160111:0010,0.0,0.0,0.0,3.43,0.83,0.0
20160111:0110,0.0,0.0,0.0,2.86,0.97,0.0
20160111:0210,0.0,0.0,0.0,3.01,0.9,0.0
20160111:0310,0.0,0.0,0.0,2.89,0.97,0.0
20160111:0410,0.0,0.0,0.0,2.49,1.03,0.0
20160111:0510,0.0,0.0,0.0,2.25,1.17,0.0
20160111:0610,0.0,0.0,0.0,2.19,1.31,0.0
20160111:0710,0.0,0.0,0.0,2.0,1.17,0.0
20160111:0810,40.82,61.54,9.17,2.07,1.17,0.0
20160111:0910,56.13,79.46,15.52,2.37,1.24,0.0
20160111:1010,38.26,58.65,19.83,2.78,1.38,0.0
20160111:1110,27.3,45.41,21.68,3.08,1.24,0.0
20160111:1210,37.35,57.7,20.86,3.34,0.97,0.0
20160111:1310,23.42,40.68,17.46,3.77,0.9,0.0
20160111:1410,52.48,75.45,11.85,3.25,0.97,0.0
20160111:1510,6.86,18.1,4.48,3.14,1.1,0.0
20160111:1610,0.0,0.0,0.0,2.68,1.24,0.0
20160111:1710,0.0,0.0,0.0,2.57,1.17,0.0
20160111:1810,0.0,0.0,0.0,3.29,1.03,0.0
20160111:1910,0.0,0.0,0.0,2.98,0.28,0.0
20160111:2010,0.0,0.0,0.0,2.7,0.48,0.0
20160111:2110,0.0,0.0,0.0,2.53,0.41,0.0
20160111:2210,0.0,0.0,0.0,2.17,0.34,0.0
20160111:2310,0.0,0.0,0.0,2.13,0.21,0.0
20160112:0010,0.0,0.0,0.0,1.9,0.14,0.0
20160112:0110,0.0,0.0,0.0,1.85,0.07,0.0
20160112:0210,0.0,0.0,0.0,1.37,0.14,0.0
20160112:0310,0.0,0.0,0.0,0.77,0.14,0.0
20160112:0410,0.0,0.0,0.0,0.0,0.41,0.0
20160112:0510,0.0,0.0,0.0,-0.73,0.55,0.0
20160112:0610,0.0,0.0,0.0,-1.27,0.62,0.0
20160112:0710,0.0,0.0,0.0,-3.24,0.62,0.0
20160112:0810,29.52,47.06,9.26,-3.15,0.48,0.0
20160112:0910,352.26,403.54,15.63,-1.57,0.41,0.0
20160112:1010,563.59,659.09,19.96,0.17,0.41,0.0
20160112:1110,547.04,644.7,21.83,2.32,0.48,0.0
20160112:1210,559.0,659.57,21.03,2.75,0.62,0.0
20160112:1310,558.93,662.54,17.64,3.65,0.62,0.0
20160112:1410,424.11,502.78,12.03,3.79,0.34,0.0
20160112:1510,8.66,20.82,4.67,3.31,0.07,0.0
20160112:1610,0.0,0.0,0.0,2.87,0.28,0.0
20160112:1710,0.0,0.0,0.0,2.19,0.34,0.0
20160112:1810,0.0,0.0,0.0,1.23,0.41,0.0
20160112:1910,0.0,0.0,0.0,0.34,0.55,0.0
20160112:2010,0.0,0.0,0.0,-0.24,0.62,0.0
20160112:2110,0.0,0.0,0.0,-0.77,0.62,0.0
20160112:2210,0.0,0.0,0.0,-1.28,0.69,0.0
20160112:2310,0.0,0.0,0.0,-1.84,0.62,0.0
20160113:0010,0.0,0.0,0.0,-2.16,0.62,0.0
20160113:0110,0.0,0.0,0.0,-2.19,0.55,0.0
20160113:0210,0.0,0.0,0.0,-2.48,0.55,0.0
20160113:0310,0.0,0.0,0.0,-3.06,0.55,0.0
20160113:0410,0.0,0.0,0.0,-3.57,0.62,0.0
20160113:0510,0.0,0.0,0.0,-3.97,0.62,0.0
20160113:0610,0.0,0.0,0.0,-4.26,0.55,0.0
20160113:0710,0.0,0.0,0.0,-4.5,0.55,0.0
20160113:0810,13.68,27.15,9.35,-4.13,0.48,0.0
20160113:0910,518.79,594.7,15.75,-2.98,0.48,0.0
20160113:1010,627.25,740.62,20.11,0.36,0.41,0.0
20160113:1110,658.67,782.64,22.0,2.19,0.83,0.0
20160113:1210,649.93,770.65,21.21,3.07,1.1,0.0
20160113:1310,564.6,655.72,17.83,1.1,1.17,0.0
20160113:1410,414.68,479.08,12.22,0.32,1.1,0.0
20160113:1510,6.9,18.1,4.85,2.03,0.83,0.0
20160113:1610,0.0,0.0,0.0,1.55,0.55,0.0
20160113:1710,0.0,0.0,0.0,0.63,0.48,0.0
20160113:1810,0.0,0.0,0.0,-0.43,0.41,0.0
20160113:1910,0.0,0.0,0.0,-0.6,0.34,0.0
20160113:2010,0.0,0.0,0.0,-1.13,0.41,0.0
20160113:2110,0.0,0.0,0.0,-1.98,0.48,0.0
20160113:2210,0.0,0.0,0.0,-2.86,0.55,0.0
20160113:2310,0.0,0.0,0.0,-3.69,0.55,0.0
20160114:0010,0.0,0.0,0.0,-4.06,0.55,0.0
20160114:0110,0.0,0.0,0.0,-4.96,0.55,0.0
20160114:0210,0.0,0.0,0.0,-5.56,0.55,0.0
20160114:0310,0.0,0.0,0.0,-5.73,0.55,0.0
20160114:0410,0.0,0.0,0.0,-5.8,0.48,0.0
20160114:0510,0.0,0.0,0.0,-5.81,0.48,0.0
20160114:0610,0.0,0.0,0.0,-5.73,0.48,0.0
20160114:0710,0.0,0.0,0.0,-6.01,0.48,0.0
20160114:0810,42.21,61.54,9.46,-5.01,0.34,0.0
20160114:0910,178.93,210.37,15.88,-3.51,0.34,0.0
20160114:1010,140.84,171.23,20.26,-1.77,0.34,0.0
20160114:1110,253.65,294.73,22.17,-0.78,0.41,0.0
20160114:1210,114.38,143.32,21.39,-0.47,0.69,0.0
20160114:1310,136.68,167.49,18.02,0.26,1.1,0.0
20160114:1410,134.1,164.49,12.41,0.07,1.17,0.0
20160114:1510,14.12,28.06,5.04,-0.86,0.83,0.0
20160114:1610,0.0,0.0,0.0,-0.26,0.62,0.0
20160114:1710,0.0,0.0,0.0,-0.52,0.55,0.0
20160114:1810,0.0,0.0,0.0,-0.99,0.41,0.0
20160114:1910,0.0,0.0,0.0,-1.73,0.48,0.0
20160114:2010,0.0,0.0,0.0,-1.83,0.41,0.0
20160114:2110,0.0,0.0,0.0,-2.17,0.48,0.0
20160114:2210,0.0,0.0,0.0,-2.63,0.48,0.0
20160114:2310,0.0,0.0,0.0,-3.07,0.55,0.0
20160115:0010,0.0,0.0,0.0,-3.44,0.62,0.0
20160115:0110,0.0,0.0,0.0,-3.42,0.62,0.0
20160115:0210,0.0,0.0,0.0,-3.88,0.69,0.0
20160115:0310,0.0,0.0,0.0,-4.3,0.69,0.0
20160115:0410,0.0,0.0,0.0,-4.87,0.69,0.0
20160115:0510,0.0,0.0,0.0,-5.25,0.69,0.0
20160115:0610,0.0,0.0,0.0,-5.73,0.69,0.0
20160115:0710,0.0,0.0,0.0,-6.13,0.62,0.0
20160115:0810,13.8,27.15,9.57,-5.86,0.62,0.0
20160115:0910,525.42,598.64,16.01,-4.15,0.55,0.0
20160115:1010,630.46,737.13,20.41,-1.64,0.41,0.0
20160115:1110,674.78,795.81,22.34,-0.53,0.62,0.0
20160115:1210,662.29,777.38,21.58,-0.21,0.83,0.0
20160115:1310,566.98,656.19,18.22,-0.23,0.97,0.0
20160115:1410,406.39,466.46,12.61,-1.31,0.9,0.0
20160115:1510,8.23,19.91,5.24,-0.44,0.69,0.0
20160115:1610,0.0,0.0,0.0,-0.98,0.55,0.0
20160115:1710,0.0,0.0,0.0,-1.92,0.55,0.0
20160115:1810,0.0,0.0,0.0,-2.9,0.48,0.0
20160115:1910,0.0,0.0,0.0,-3.03,0.62,0.0
20160115:2010,0.0,0.0,0.0,-3.72,0.48,0.0
20160115:2110,0.0,0.0,0.0,-4.48,0.48,0.0
20160115:2210,0.0,0.0,0.0,-5.01,0.55,0.0
20160115:2310,0.0,0.0,0.0,-5.61,0.55,0.0
20160116:0010,0.0,0.0,0.0,-6.06,0.55,0.0
20160116:0110,0.0,0.0,0.0,-6.4,0.55,0.0
20160116:0210,0.0,0.0,0.0,-6.74,0.62,0.0
20160116:0310,0.0,0.0,0.0,-7.04,0.69,0.0
20160116:0410,0.0,0.0,0.0,-7.36,0.62,0.0
20160116:0510,0.0,0.0,0.0,-7.65,0.69,0.0
20160116:0610,0.0,0.0,0.0,-8.07,0.69,0.0
20160116:0710,0.0,0.0,0.0,-8.09,0.69,0.0
20160116:0810,13.22,26.25,9.69,-7.35,0.83,0.0
20160116:0910,533.33,599.44,16.15,-5.91,0.97,0.0
20160116:1010,654.13,739.67,20.57,-6.18,1.17,0.0
20160116:1110,653.89,749.38,22.53,-2.97,1.38,0.0
20160116:1210,674.94,774.67,21.78,-2.05,1.72,0.0
20160116:1310,587.29,666.88,18.42,-1.81,2.0,0.0
20160116:1410,437.37,497.08,12.81,-2.33,1.52,0.0
20160116:1510,8.41,19.91,5.44,-4.2,1.31,0.0
20160116:1610,0.0,0.0,0.0,-4.06,1.17,0.0
20160116:1710,0.0,0.0,0.0,-3.53,1.03,0.0
20160116:1810,0.0,0.0,0.0,-4.39,0.9,0.0
20160116:1910,0.0,0.0,0.0,-5.07,0.9,0.0
20160116:2010,0.0,0.0,0.0,-6.33,0.76,0.0
20160116:2110,0.0,0.0,0.0,-7.42,0.62,0.0
20160116:2210,0.0,0.0,0.0,-8.18,0.55,0.0
20160116:2310,0.0,0.0,0.0,-8.75,0.55,0.0
20160117:0010,0.0,0.0,0.0,-9.06,0.55,0.0
20160117:0110,0.0,0.0,0.0,-9.17,0.62,0.0
20160117:0210,0.0,0.0,0.0,-9.44,0.83,0.0
20160117:0310,0.0,0.0,0.0,-9.62,0.76,0.0
20160117:0410,0.0,0.0,0.0,-9.86,0.76,0.0
20160117:0510,0.0,0.0,0.0,-10.34,0.76,0.0
20160117:0610,0.0,0.0,0.0,-10.68,0.76,0.0
20160117:0710,0.0,0.0,0.0,-8.51,0.69,0.0
20160117:0810,45.98,65.16,9.81,-7.65,0.69,0.0
20160117:0910,523.68,591.31,16.3,-5.96,0.55,0.0
20160117:1010,621.98,710.35,20.75,-4.59,0.83,0.0
20160117:1110,622.42,710.95,22.72,-3.76,1.1,0.0
20160117:1210,442.68,497.5,21.98,-3.19,1.59,0.0
20160117:1310,56.85,78.52,18.63,-3.26,1.45,0.0
20160117:1410,13.15,26.49,13.02,-3.54,1.66,0.0
20160117:1510,5.98,16.29,5.64,-5.07,1.31,0.0
20160117:1610,0.0,0.0,0.0,-6.09,1.1,0.0
20160117:1710,0.0,0.0,0.0,-5.11,1.17,0.0
20160117:1810,0.0,0.0,0.0,-5.33,1.24,0.0
20160117:1910,0.0,0.0,0.0,-5.79,1.45,0.0
20160117:2010,0.0,0.0,0.0,-5.99,1.1,0.0
20160117:2110,0.0,0.0,0.0,-6.06,1.03,0.0
20160117:2210,0.0,0.0,0.0,-6.43,0.83,0.0
20160117:2310,0.0,0.0,0.0,-6.94,0.62,0.0
20160118:0010,0.0,0.0,0.0,-7.54,0.48,0.0
20160118:0110,0.0,0.0,0.0,-8.69,0.48,0.0
20160118:0210,0.0,0.0,0.0,-9.32,0.55,0.0
20160118:0310,0.0,0.0,0.0,-9.97,0.55,0.0
20160118:0410,0.0,0.0,0.0,-10.71,0.55,0.0
20160118:0510,0.0,0.0,0.0,-11.56,0.55,0.0
20160118:0610,0.0,0.0,0.0,-12.57,0.48,0.0
20160118:0710,0.0,0.0,0.0,-12.21,0.41,0.0
20160118:0810,13.52,26.25,9.94,-11.63,0.34,0.0
20160118:0910,545.62,610.0,16.45,-9.32,0.28,0.0
20160118:1010,649.89,745.92,20.92,-6.69,0.21,0.0
20160118:1110,695.69,797.8,22.91,-6.3,0.69,0.0
20160118:1210,680.7,782.7,22.19,-4.03,1.03,0.0
20160118:1310,583.5,662.23,18.84,-3.94,1.17,0.0
20160118:1410,464.33,524.56,13.23,-4.59,1.1,0.0
20160118:1510,7.22,18.1,5.85,-5.77,0.97,0.0
20160118:1610,0.0,0.0,0.0,-4.62,0.83,0.0
20160118:1710,0.0,0.0,0.0,-5.08,0.62,0.0
20160118:1810,0.0,0.0,0.0,-5.66,0.41,0.0
20160118:1910,0.0,0.0,0.0,-7.14,0.28,0.0
20160118:2010,0.0,0.0,0.0,-8.03,0.34,0.0
20160118:2110,0.0,0.0,0.0,-9.35,0.34,0.0
20160118:2210,0.0,0.0,0.0,-10.42,0.41,0.0
20160118:2310,0.0,0.0,0.0,-11.22,0.41,0.0
20160119:0010,0.0,0.0,0.0,-11.77,0.41,0.0
20160119:0110,0.0,0.0,0.0,-12.74,0.41,0.0
